"Table 1.  Filing Season Statistics, Weekly Data, 2009â€“2023",,,,,,,,,,,,,,
Year [1],Month,Day,Individual income tax returns,,E-filing receipts,,,Web usage,Total refunds,,,Direct deposit refunds,,
,,,"Total returns
received",Processed,Total e-file,"Tax 
Pro",Self-prepared,"Visits to
IRS.gov",Number,"Amount
(in billions of dollars)","Average
refund",Number,"Amount
(in billions of dollars)","Average
refund"
2024,4,26,"141,363,000","138,356,000","135,724,000","72,201,000","63,523,000","591,742,000","91,359,000",$260.56,"$2,852","84,661,000",$249.31,"$2,945"
2024,4,19,"139,137,000","136,069,000","134,531,000","71,327,000","63,204,000","571,496,000","86,058,000",$245.23,"$2,850","80,028,000",$235.82,"$2,947"
2024,4,12,"119,592,000","118,114,000","115,734,000","63,318,000","52,416,000","533,981,000","74,685,000",$220.15,"$2,948","70,369,000",$213.29,"$3,031"
2024,4,5,"101,849,000","100,110,000","98,421,000","53,157,000","45,264,000","497,397,000","66,799,000",$201.12,"$3,011","63,445,000",$195.90,"$3,088"
2024,3,29,"90,315,000","88,800,000","87,369,000","46,302,000","41,068,000","467,978,000","60,858,000",$185.64,"$3,050","58,126,000",$181.61,"$3,124"
2024,3,22,"80,470,000","79,243,000","78,023,000","40,311,000","37,713,000","441,085,000","54,990,000",$169.41,"$3,081","52,795,000",$166.42,"$3,152"
2024,3,15,"71,587,000","70,569,000","69,543,000","34,880,000","34,664,000","411,961,000","49,145,000",$152.77,"$3,109","47,425,000",$150.67,"$3,177"
2024,3,8,"62,761,000","61,877,000","61,165,000","29,644,000","31,521,000","376,622,000","43,020,000",$135.28,"$3,145","41,719,000",$133.90,"$3,209"
2024,3,1,"54,030,000","53,231,000","52,795,000","24,516,000","28,279,000","337,328,000","36,288,000",$115.47,"$3,182","35,369,000",$114.74,"$3,244"
2024,2,23,"44,584,000","44,073,000","43,661,000","19,290,000","24,371,000","292,164,000","28,945,000",$92.99,"$3,213","28,374,000",$92.84,"$3,272"
2024,2,16,"34,743,000","34,546,000","34,071,000","14,138,000","19,933,000","231,436,000","20,883,000",$66.98,"$3,207","20,574,000",$67.18,"$3,265"
2024,2,9,"25,553,000","25,443,000","24,989,000","9,420,000","15,570,000","158,617,000","7,483,000",$13.03,"$1,741","7,417,000",$13.58,"$1,831"
2024,2,2,"15,318,000","13,928,000","14,909,000","4,874,000","10,035,000","104,788,000","2,616,000",$3.65,"$1,395","2,645,000",$4.08,"$1,543"
2023,12,29,"162,037,000","162,952,000","150,141,000","85,049,000","65,092,000","871,133,000","105,734,000",$334.86,"$3,167","96,592,000",$303.76,"$3,145"
2023,10,27,"160,494,000","161,157,000","149,504,000","84,455,000","65,049,000","788,747,000","104,658,000",$319.66,"$3,054","95,895,000",$296.21,"$3,089"
2023,10,20,"160,071,000","160,736,000","149,340,000","84,320,000","65,021,000","779,769,000","103,791,000",$308.99,"$2,977","95,326,000",$288.85,"$3,030"
2023,5,12,"142,577,000","140,224,000","134,911,000","72,651,000","62,260,000","536,829,000","94,884,000",$266.85,"$2,812","88,435,000",$253.89,"$2,871"
2023,5,5,"141,137,000","138,795,000","134,147,000","72,047,000","62,100,000","523,069,000","93,790,000",$262.89,"$2,803","88,380,000",$253.73,"$2,871"
2023,4,28,"139,375,000","136,909,000","133,229,000","71,347,000","61,883,000","507,207,000","91,800,000",$254.96,"$2,777","86,773,000",$247.21,"$2,849"
2023,4,21,"137,144,000","134,649,000","132,009,000","70,492,000","61,517,000","488,119,000","85,935,000",$236.62,"$2,753","81,799,000",$231.28,"$2,827"
2023,4,14,"117,321,000","116,175,000","113,201,000","62,174,000","51,027,000","452,290,000","75,824,000",$215.36,"$2,840","73,121,000",$212.22,"$2,902"
2023,4,7,"101,320,000","100,367,000","97,831,000","53,165,000","44,666,000","420,715,000","69,095,000",$198.87,"$2,878","66,356,000",$195.25,"$2,942"
2023,3,31,"90,111,000","89,656,000","87,126,000","46,517,000","40,609,000","395,430,000","62,932,000",$183.13,"$2,910","60,867,000",$180.75,"$2,970"
2023,3,24,"80,683,000","80,369,000","78,167,000","40,671,000","37,496,000","370,706,000","59,342,000",$172.26,"$2,903","55,902,000",$167.20,"$2,991"
2023,3,17,"71,861,000","71,455,000","69,774,000","35,239,000","34,535,000","345,454,000","53,912,000",$158.10,"$2,933","50,940,000",$153.80,"$3,019"
2023,3,10,"63,442,000","63,191,000","61,713,000","30,215,000","31,498,000","318,555,000","49,174,000",$146.17,"$2,972","45,757,000",$140.65,"$3,074"
2023,3,3,"54,948,000","54,341,000","53,598,000","25,210,000","28,387,000","289,829,000","42,040,000",$127.31,"$3,028","39,907,000",$124.31,"$3,115"
2023,2,24,"45,983,000","45,722,000","44,962,000","20,239,000","24,723,000","256,924,000","35,142,000",$108.20,"$3,079","33,377,000",$105.81,"$3,170"
2023,2,17,"36,859,000","36,769,000","36,079,000","15,380,000","20,698,000","212,815,000","27,781,000",$87.25,"$3,140","26,321,000",$85.30,"$3,241"
2023,2,10,"28,826,000","26,622,000","27,239,000","10,664,000","16,575,000","149,706,000","13,341,000",$26.65,"$1,997","12,186,000",$25.39,"$2,084"
2023,2,3,"18,946,000","16,767,000","17,508,000","6,066,000","11,442,000","105,829,000","7,996,000",$15.70,"$1,963","6,944,000",$14.28,"$2,056"
2022,12,30,"165,774,000","168,855,000","152,089,000","85,140,000","66,949,000","1,026,942,000","110,567,000",$359.52,"$3,252","100,758,000",$331.84,"$3,293"
2022,10,28,"164,246,000","164,997,000","151,448,000","84,616,000","66,832,000","942,947,000","108,622,000",$344.95,"$3,176","99,636,000",$324.16,"$3,253"
2022,10,21,"163,762,000","163,967,000","151,264,000","84,485,000","66,780,000","932,164,000","107,880,000",$337.60,"$3,129","99,182,000",$319.50,"$3,221"
2022,5,20,"145,372,000","140,618,000","137,177,000","73,356,000","63,820,000","679,249,000","96,274,000",$292.54,"$3,039","90,527,000",$282.53,"$3,121"
2022,5,13,"144,341,000","139,460,000","136,430,000","72,774,000","63,656,000","664,529,000","95,539,000",$289.73,"$3,033","89,867,000",$279.97,"$3,115"
2022,5,6,"143,164,000","138,075,000","135,611,000","72,130,000","63,481,000","648,533,000","94,399,000",$285.55,"$3,025","88,861,000",$276.20,"$3,108"
2022,4,29,"141,272,000","136,484,000","134,646,000","71,395,000","63,251,000","630,458,000","92,523,000",$279.28,"$3,019","87,233,000",$270.62,"$3,102"
2022,4,22,"138,942,000","133,773,000","133,410,000","70,509,000","62,900,000","609,075,000","88,667,000",$267.02,"$3,012","83,891,000",$259.97,"$3,099"
2022,4,15,"122,543,000","118,826,000","117,859,000","63,692,000","54,167,000","571,818,000","78,201,000",$242.63,"$3,103","74,769,000",$237.82,"$3,181"
2022,4,8,"103,315,000","99,785,000","99,290,000","53,018,000","46,272,000","531,901,000","70,040,000",$222.34,"$3,175","66,632,000",$216.98,"$3,256"
2022,4,1,"91,260,000","89,267,000","87,869,000","45,901,000","41,968,000","478,849,000","63,357,000",$204.41,"$3,226","60,606,000",$200.24,"$3,304"
2022,3,25,"81,371,000","78,858,000","78,426,000","39,909,000","38,517,000","468,160,000","57,830,000",$188.69,"$3,263","55,561,000",$185.43,"$3,337"
2022,3,18,"72,223,000","70,305,000","69,852,000","34,395,000","35,457,000","435,510,000","51,775,000",$171.14,"$3,305","49,960,000",$168.56,"$3,374"
2022,3,11,"63,474,000","61,962,000","61,605,000","29,303,000","32,302,000","399,448,000","45,319,000",$151.93,"$3,352","43,951,000",$150.17,"$3,417"
2022,3,4,"54,741,000","53,053,000","53,216,000","24,201,000","29,015,000","357,372,000","37,999,000",$129.23,"$3,401","37,049,000",$128.25,"$3,462"
2022,2,25,"45,413,000","43,818,000","44,293,000","19,082,000","25,211,000","307,581,000","29,723,000",$103.22,"$3,473","29,190,000",$103.02,"$3,529"
2022,2,18,"35,922,000","33,464,000","34,940,000","14,213,000","20,726,000","248,303,000","22,065,000",$78.02,"$3,536","21,804,000",$78.27,"$3,590"
2022,2,11,"26,421,000","23,438,000","25,627,000","9,598,000","16,029,000","172,827,000","8,992,000",$20.89,"$2,323","9,037,000",$21.69,"$2,400"
2022,2,4,"16,685,000","12,992,000","15,990,000","5,243,000","10,747,000","120,234,000","4,330,000",$9.53,"$2,201","4,464,000",$10.29,"$2,306"
2021,12,3,"169,098,000","168,453,000","152,300,000","84,924,000","67,376,000","1,947,346,000","129,841,000",$365.50,"$2,815","113,283,000",$326.18,"$2,879"
2021,10,29,"168,026,000","166,898,000","151,824,000","84,525,000","67,299,000","1,885,126,000","128,572,000",$358.88,"$2,791","112,591,000",$322.38,"$2,863"
2021,10,22,"167,634,000","166,342,000","151,681,000","84,422,000","67,259,000","1,871,475,000","128,064,000",$355.37,"$2,775","112,267,000",$320.11,"$2,851"
2021,6,11,"152,465,000","141,032,000","140,860,000","75,876,000","64,984,000","1,452,971,000","104,304,000",$289.48,"$2,775","93,882,000",$267.53,"$2,850"
2021,6,4,"150,938,000","138,979,000","140,074,000","75,276,000","64,798,000","1,425,885,000","102,380,000",$284.99,"$2,784","92,626,000",$264.59,"$2,857"
2021,5,28,"149,650,000","137,609,000","139,417,000","74,800,000","64,617,000","1,401,265,000","101,243,000",$281.40,"$2,779","91,749,000",$261.60,"$2,851"
2021,5,21,"148,012,000","135,773,000","138,563,000","74,195,000","64,368,000","1,372,697,000","95,632,000",$270.35,"$2,827","87,045,000",$252.37,"$2,899"
2021,5,14,"136,309,000","124,599,000","127,658,000","69,718,000","57,940,000","1,333,514,000","88,890,000",$253.83,"$2,856","81,249,000",$237.72,"$2,926"
2021,5,7,"126,777,000","115,989,000","118,664,000","64,425,000","54,239,000","1,293,942,000","84,840,000",$242.90,"$2,863","77,979,000",$228.13,"$2,932"
2021,4,30,"121,168,000","110,257,000","113,617,000","61,282,000","52,335,000","1,256,364,000","81,485,000",$233.49,"$2,865","74,965,000",$219.96,"$2,934"
2021,4,23,"116,139,000","105,330,000","109,381,000","58,506,000","50,875,000","1,217,624,000","77,652,000",$222.87,"$2,870","71,741,000",$210.67,"$2,936"
2021,4,16,"110,961,000","100,027,000","104,786,000","55,450,000","49,336,000","1,178,651,000","73,316,000",$210.67,"$2,873","68,000,000",$199.85,"$2,939"
2021,4,9,"100,915,000","91,152,000","95,562,000","49,947,000","45,615,000","1,130,085,000","67,727,000",$195.60,"$2,888","63,114,000",$186.28,"$2,951"
2021,4,2,"93,202,000","83,712,000","88,285,000","44,992,000","43,293,000","1,070,694,000","62,305,000",$180.25,"$2,893","58,325,000",$172.27,"$2,954"
2021,3,26,"85,005,000","75,971,000","80,835,000","39,926,000","40,909,000","991,159,000","56,494,000",$163.92,"$2,902","53,152,000",$157.28,"$2,959"
2021,3,19,"76,097,000","67,704,000","72,730,000","34,566,000","38,164,000","879,042,000","49,722,000",$145.63,"$2,929","47,093,000",$140.43,"$2,982"
2021,3,12,"66,065,000","58,490,000","63,492,000","29,293,000","34,199,000","659,291,000","42,513,000",$126.12,"$2,967","40,492,000",$122.14,"$3,016"
2021,3,5,"55,716,000","48,967,000","53,922,000","23,926,000","29,996,000","555,744,000","36,049,000",$107.78,"$2,990","34,498,000",$104.72,"$3,036"
2021,2,26,"45,271,000","39,402,000","43,936,000","18,344,000","25,592,000","493,500,000","28,301,000",$85.48,"$3,021","27,228,000",$83.41,"$3,063"
2021,2,19,"34,693,000","29,832,000","33,615,000","12,813,000","20,802,000","425,806,000","16,576,000",$47.74,"$2,880","16,027,000",$46.79,"$2,920"
2021,2,12,"20,645,000","14,695,000","19,689,000","6,859,000","12,830,000","368,647,000","1,136,000",$2.16,"$1,900","1,099,000",$2.11,"$1,921"
2020,12,11,"169,684,000","163,654,000","152,802,000","80,582,000","72,220,000","1,647,043,000","125,851,000",$320.85,"$2,549","102,695,000",$269.26,"$2,622"
2020,12,4,"169,153,000","163,217,000","152,802,000","80,582,000","72,220,000","1,637,545,000","125,703,000",$320.02,"$2,546","102,623,000",$268.89,"$2,620"
2020,11,20,"168,650,000","162,472,000","152,802,000","80,582,000","72,220,000","1,619,588,000","125,299,000",$317.69,"$2,535","102,399,000",$267.86,"$2,616"
2020,10,23,"166,255,000","160,171,000","152,066,000","80,186,000","71,880,000","1,573,404,000","124,164,000",$309.75,"$2,495","101,773,000",$263.78,"$2,592"
2020,10,16,"165,624,000","159,376,000","151,812,000","80,051,000","71,761,000","1,561,914,000","123,416,000",$305.56,"$2,476","101,298,000",$261.02,"$2,577"
2020,7,24,"152,875,000","146,556,000","143,906,000","74,125,000","69,781,000","1,397,638,000","102,904,000",$282.03,"$2,741","85,333,000",$245.21,"$2,874"
2020,7,17,"151,782,000","145,464,000","143,379,000","73,806,000","69,573,000","1,380,722,000","100,483,000",$276.09,"$2,748","83,384,000",$240.46,"$2,884"
2020,7,10,"147,142,000","134,603,000","133,174,000","68,921,000","64,253,000","1,353,646,000","96,798,000",$267.32,"$2,762","80,394,000",$233.09,"$2,899"
2020,7,3,"142,375,000","130,554,000","129,421,000","66,608,000","62,813,000","1,332,820,000","95,210,000",$263.01,"$2,762","79,141,000",$229.59,"$2,901"
2020,6,26,"139,938,000","128,525,000","127,274,000","65,257,000","62,017,000","1,315,097,000","94,117,000",$259.71,"$2,759","78,280,000",$226.97,"$2,899"
2020,6,19,"138,272,000","126,587,000","125,637,000","64,154,000","61,483,000","1,295,793,000","93,204,000",$257.55,"$2,763","77,561,000",$225.17,"$2,903"
2020,6,12,"136,509,000","124,631,000","123,984,000","63,110,000","60,874,000","1,276,240,000","92,162,000",$255.00,"$2,767","76,725,000",$223.01,"$2,907"
2020,6,5,"135,229,000","122,870,000","122,426,000","62,119,000","60,307,000","1,254,002,000","91,383,000",$253.00,"$2,769","76,092,000",$221.31,"$2,908"
2020,5,29,"133,811,000","121,163,000","120,947,000","61,189,000","59,758,000","1,229,022,000","90,570,000",$250.91,"$2,770","75,427,000",$219.54,"$2,911"
2020,5,22,"132,351,000","119,722,000","119,544,000","60,372,000","59,172,000","1,198,616,000","89,840,000",$249.04,"$2,772","74,808,000",$217.92,"$2,913"
2020,5,15,"130,496,000","117,918,000","117,814,000","59,355,000","58,459,000","1,156,732,000","88,227,000",$245.08,"$2,778","73,425,000",$214.44,"$2,921"
2020,5,8,"128,204,000","115,765,000","115,696,000","58,228,000","57,468,000","1,095,606,000","87,663,000",$243.66,"$2,779","72,956,000",$213.22,"$2,923"
2020,5,1,"125,474,000","113,095,000","113,110,000","56,965,000","56,145,000","1,020,304,000","86,471,000",$240.45,"$2,781","71,977,000",$210.52,"$2,925"
2020,4,24,"121,892,000","110,074,000","110,089,000","55,528,000","54,561,000","898,329,140","84,771,000",$236.37,"$2,788","70,525,000",$206.99,"$2,935"
2020,4,17,"115,961,000","106,637,000","105,991,000","53,651,000","52,340,000","744,739,000","81,349,000",$229.28,"$2,818","68,028,000",$201.61,"$2,964"
2020,4,10,"103,986,000","97,828,000","96,798,000","50,511,000","46,287,000","486,977,000","77,252,000",$220.36,"$2,852","64,762,000",$194.23,"$2,999"
2020,4,3,"97,366,000","92,509,000","91,448,000","47,672,000","43,776,000","432,444,000","74,055,000",$213.13,"$2,878","62,017,000",$187.90,"$3,030"
2020,3,27,"90,617,000","87,001,000","85,559,000","44,501,000","41,058,000","394,715,000","69,931,000",$203.38,"$2,908","59,029,000",$180.49,"$3,058"
2020,3,20,"84,222,000","81,158,000","79,688,000","41,003,000","38,685,000","369,251,000","65,097,000",$191.11,"$2,936","55,584,000",$171.16,"$3,079"
2020,3,13,"76,191,000","73,497,000","72,309,000","36,336,000","35,973,000","345,662,000","59,235,000",$176.09,"$2,973","51,456,000",$159.79,"$3,105"
2020,3,6,"67,998,000","65,018,000","64,806,000","31,430,000","33,376,000","321,393,000","52,721,000",$158.81,"$3,012","46,870,000",$146.65,"$3,129"
2020,2,28,"59,305,000","57,085,000","56,736,000","26,410,000","30,326,000","291,906,000","45,552,000",$139.59,"$3,064","42,636,000",$134.20,"$3,148"
2020,2,21,"49,888,000","48,052,000","48,012,000","21,261,000","26,751,000","242,330,000","37,454,000",$117.06,"$3,125","35,422,000",$113.37,"$3,200"
2020,2,14,"39,622,000","38,319,000","38,368,000","16,024,000","22,344,000","165,294,000","18,166,000",$36.57,"$2,013","17,094,000",$35.27,"$2,064"
2020,2,7,"28,662,000","27,542,000","27,774,000","10,592,000","17,182,000","110,871,000","10,837,000",$21.16,"$1,952","10,315,000",$20.58,"$1,995"
2020,1,31,"15,777,000","12,943,000","15,123,000","5,236,000","9,887,000","68,097,000","4,299,000",$8.04,"$1,869","4,100,000",$7.85,"$1,915"
2019,12,27,"155,798,000","155,611,000","138,217,000","80,630,000","57,587,000","652,418,000","112,811,000",$322.81,"$2,869","92,059,000",$274.25,"$2,979"
2019,12,13,"155,660,000","155,429,000","138,217,000","80,630,000","57,587,000","640,367,000","112,254,000",$322.18,"$2,870","92,021,000",$274.02,"$2,978"
2019,11,22,"155,402,000","155,096,000","138,217,000","80,630,000","57,587,000","625,522,000","111,596,000",$319.22,"$2,860","91,955,000",$273.53,"$2,975"
2019,10,18,"154,297,000","153,721,000","137,866,000","80,294,000","57,572,000","596,722,000","110,582,000",$307.56,"$2,781","91,544,000",$268.66,"$2,935"
2019,7,26,"146,342,000","145,750,000","131,169,000","74,455,000","56,714,000","528,394,000","106,240,000",$291.18,"$2,741","89,657,000",$258.96,"$2,888"
2019,7,19,"145,941,000","145,191,000","130,882,000","74,206,000","56,676,000","522,468,000","105,933,000",$290.25,"$2,740","89,507,000",$258.37,"$2,887"
2019,7,12,"145,678,000","144,789,000","130,725,000","74,073,000","56,652,000","516,311,000","105,635,000",$289.31,"$2,739","89,346,000",$257.77,"$2,885"
2019,7,5,"145,303,000","144,306,000","130,488,000","73,870,000","56,618,000","510,093,000","105,268,000",$288.07,"$2,737","89,152,000",$257.00,"$2,883"
2019,6,28,"144,990,000","143,765,000","130,292,000","73,706,000","56,586,000","504,950,000","104,959,000",$287.20,"$2,736","89,124,000",$256.90,"$2,883"
2019,6,21,"144,563,000","142,877,000","130,020,000","73,471,000","56,549,000","498,273,000","104,541,000",$285.94,"$2,735","88,909,000",$256.11,"$2,881"
2019,6,14,"144,125,000","141,870,000","129,721,000","73,217,000","56,504,000","491,279,000","104,452,000",$285.58,"$2,734","88,629,000",$255.00,"$2,877"
2019,6,7,"143,650,000","140,825,000","129,387,000","72,931,000","56,456,000","483,914,000","104,047,000",$284.35,"$2,733","88,426,000",$254.24,"$2,875"
2019,5,31,"143,166,000","139,732,000","129,052,000","72,647,000","56,405,000","476,681,000","103,576,000",$282.82,"$2,730","88,141,000",$253.15,"$2,872"
2019,5,24,"142,737,000","138,803,000","128,741,000","72,389,000","56,352,000","469,696,000","103,112,000",$281.41,"$2,729","87,859,000",$252.18,"$2,870"
2019,5,17,"142,200,000","137,633,000","128,373,000","72,084,000","56,289,000","461,982,000","102,504,000",$279.65,"$2,728","87,496,000",$251.00,"$2,869"
2019,5,10,"141,567,000","136,139,000","127,939,000","71,725,000","56,214,000","453,360,000","101,590,000",$277.26,"$2,729","86,965,000",$249.43,"$2,868"
2019,5,3,"141,001,000","134,744,000","127,513,000","71,392,000","56,121,000","444,213,000","100,430,000",$274.33,"$2,732","86,320,000",$247.62,"$2,869"
2019,4,26,"139,364,000","132,763,000","126,961,000","70,969,000","55,992,000","433,675,000","98,952,000",$270.00,"$2,729","85,456,000",$244.81,"$2,865"
2019,4,19,"137,233,000","130,775,000","126,264,000","70,476,000","55,788,000","421,514,000","95,737,000",$260.92,"$2,725","83,249,000",$238.38,"$2,863"
2019,4,12,"119,427,000","115,742,000","111,368,000","63,248,000","48,120,000","399,465,000","84,435,000",$235.98,"$2,795","74,617,000",$218.22,"$2,924"
2019,4,5,"103,460,000","100,572,000","96,844,000","53,839,000","43,005,000","376,700,000","77,925,000",$220.76,"$2,833","69,094,000",$204.59,"$2,961"
2019,3,29,"92,861,000","90,280,000","87,288,000","47,430,000","39,858,000","358,112,000","71,755,000",$206.15,"$2,873","64,252,000",$192.43,"$2,995"
2019,3,22,"84,075,000","81,562,000","79,236,000","41,911,000","37,325,000","339,939,000","65,836,000",$191.89,"$2,915","59,521,000",$180.35,"$3,030"
2019,3,15,"75,881,000","73,528,000","71,815,000","36,868,000","34,947,000","320,712,000","59,916,000",$177.19,"$2,957","54,683,000",$167.63,"$3,065"
2019,3,8,"67,721,000","65,314,000","64,299,000","31,942,000","32,357,000","298,601,000","53,487,000",$160.87,"$3,008","49,320,000",$153.26,"$3,107"
2019,3,1,"59,223,000","56,875,000","56,494,000","27,017,000","29,477,000","272,602,000","46,416,000",$142.40,"$3,068","43,241,000",$136.60,"$3,159"
2019,2,22,"49,923,000","47,700,000","47,866,000","21,869,000","25,997,000","232,545,000","38,566,000",$121.20,"$3,143","36,329,000",$117.19,"$3,226"
2019,2,15,"39,747,000","37,810,000","38,357,000","16,583,000","21,774,000","161,706,000","23,485,000",$61.99,"$2,640","22,141,000",$59.85,"$2,703"
2019,2,8,"28,764,000","26,965,000","27,602,000","11,001,000","16,601,000","106,390,000","11,381,000",$22.18,"$1,949","10,790,000",$21.53,"$1,996"
2019,2,1,"16,035,000","13,306,000","15,222,000","5,440,000","9,782,000","66,310,000","4,672,000",$8.71,"$1,865","4,476,000",$8.51,"$1,901"
2018,12,28,"154,865,000","154,539,000","135,459,000","80,286,000","55,173,000","611,580,000","112,154,000",$326.33,"$2,910","90,164,000",$273.70,"$3,036"
2018,11,23,"154,444,000","154,058,000","135,459,000","80,286,000","55,173,000","585,027,000","111,911,000",$324.43,"$2,899","90,067,000",$272.98,"$3,031"
2018,10,19,"153,383,000","152,827,000","135,154,000","79,990,000","55,164,000","559,158,000","110,806,000",$312.97,"$2,825","89,537,000",$267.80,"$2,991"
2018,8,31,"147,358,000","147,058,000","129,931,000","75,423,000","54,508,000","520,207,937","108,757,000",$303.76,"$2,793","88,494,000",$262.38,"$2,965"
2018,5,11,"141,531,000","135,883,000","126,040,000","72,111,000","53,929,000","419,004,000","102,582,000",$284.93,"$2,778","85,297,000",$250.73,"$2,940"
2018,5,4,"140,895,000","134,268,000","125,637,000","71,788,000","53,849,000","410,052,000","101,372,000",$281.51,"$2,777","84,632,000",$248.63,"$2,938"
2018,4,27,"139,903,000","132,550,000","125,161,000","71,425,000","53,736,000","399,502,000","99,511,000",$275.73,"$2,771","83,458,000",$244.69,"$2,932"
2018,4,20,"136,919,000","130,477,000","124,515,000","70,983,000","53,532,000","386,895,000","95,434,000",$265.33,"$2,780","80,491,000",$236.85,"$2,943"
2018,4,13,"118,580,000","114,817,000","109,006,000","62,975,000","46,031,000","363,095,000","86,039,000",$243.59,"$2,831","73,484,000",$219.41,"$2,986"
2018,4,6,"103,762,000","101,082,000","95,899,000","54,283,000","41,616,000","342,057,000","79,100,000",$226.56,"$2,864","68,220,000",$205.56,"$3,013"
2018,3,30,"94,139,000","91,593,000","87,328,000","48,374,000","38,954,000","324,355,000","73,396,000",$212.32,"$2,893","63,847,000",$193.85,"$3,036"
2018,3,23,"85,689,000","83,286,000","79,780,000","43,094,000","36,686,000","307,121,000","67,599,000",$197.70,"$2,925","59,313,000",$181.60,"$3,062"
2018,3,16,"77,795,000","75,307,000","72,732,000","38,245,000","34,487,000","288,340,000","61,739,000",$182.77,"$2,960","54,602,000",$168.80,"$3,091"
2018,3,9,"69,484,000","67,183,000","65,270,000","33,495,000","31,775,000","267,117,000","55,327,000",$166.19,"$3,004","49,357,000",$154.35,"$3,127"
2018,3,2,"61,150,000","59,048,000","57,794,000","28,688,000","29,106,000","242,891,000","48,452,000",$147.58,"$3,046","43,549,000",$137.72,"$3,162"
2018,2,23,"51,740,000","49,992,000","49,192,000","23,438,000","25,754,000","213,117,000","40,504,000",$125.67,"$3,103","37,731,000",$120.69,"$3,199"
2018,2,16,"41,738,000","40,470,000","39,882,000","18,126,000","21,756,000","167,163,000","31,937,000",$101.21,"$3,169","30,040,000",$97.82,"$3,256"
2018,2,9,"30,881,000","30,016,000","29,724,000","12,575,000","17,149,000","114,218,000","13,517,000",$28.86,"$2,135","12,685,000",$27.88,"$2,198"
